Vendor_ID,Company,Owner_Name,Phone,Address,Registration_Date
VEN100,"Solanki, Kibe and Solanki",Ranveer Chandra,+916566701065,"387, Sami Street, Alwar 317810",2023-10-13
VEN101,"Aurora, Chander and Khalsa",Niharika Sunder,03602606474,"343, Bhat Nagar, Howrah-978820",2023-03-02
VEN102,Grewal Inc,Wahab Raval,+919399091699,"534, Deep Marg, Berhampore 107991",2021-04-26
VEN103,"Kala, Toor and Lanka",Ikshita Biswas,+915427849808,"411, Dugal Circle, Ichalkaranji 534874",2021-03-22
VEN104,Sampath LLC,Aarush Nath,+914278680112,"82/62, Morar Nagar, Thane 331586",2023-08-25
VEN105,Scam Infra Pvt Ltd,Nitara Bakshi,9999999999,"H.No. 43, Bajwa Ganj, Silchar-414586",2023-11-24
VEN106,"Narula, Bala and D’Alia",Pranav Lanka,+911965569816,"H.No. 608, Hegde Circle, Chinsurah-595148",2022-04-28
VEN107,"Rege, Narain and Rau",Joshua Handa,06299468044,"95/77, Kala Chowk, Gulbarga-489513",2023-11-14
VEN108,Kar-Issac,Aryan Batra,+917917693676,"01/632, Shetty Circle, Proddatur-172788",2023-07-17
VEN109,Savant-Thaman,Sanaya Dutt,7743487347,"455, Buch Circle, Saharanpur 623166",2022-06-01
VEN110,"Shukla, Sagar and Bhatia",Osha Ramachandran,0967054668,"467, Ramachandran Nagar, Machilipatnam-729806",2023-07-11
VEN111,"Bala, Chacko and Sangha",Triya Gopal,+914653755646,"08, Palla Nagar, Coimbatore 033092",2022-01-08
VEN112,Solanki Ltd,Tejas Shroff,4529912419,"66/31, Kibe, Barasat 905865",2021-04-20
VEN113,"Om, Arora and Salvi",Hitesh Sant,07262849877,"H.No. 31, Seshadri Road, Madhyamgram-507527",2021-11-28
VEN114,Kuruvilla-Oak,Anya Anne,3136783777,"H.No. 36, Mohan Ganj, Bhalswa Jahangir Pur 685574",2022-04-24
VEN115,Kashyap-Dara,Diya Dar,8233749894,"H.No. 35, Mittal Street, Deoghar 400842",2023-09-20
VEN116,Chauhan-Arora,Upasna Srinivas,05204711671,"941, Dani Ganj, Medininagar 867749",2022-10-31
VEN117,Bhasin-Chaudhary,Siddharth Lalla,1232812067,"H.No. 344, Bobal Chowk, Bilaspur-618324",2021-08-11
VEN118,Bhasin and Sons,Bhavya Sarna,+917464887719,"59/401, Bail Ganj, Gangtok 278742",2023-07-01
VEN119,Swamy-Chand,Ijaya Rege,05125674680,"H.No. 45, Raval Zila, Hosur-603859",2023-02-16
VEN120,"Sathe, Behl and Jani",Karan Mani,07109324808,"171, Tara Street, Danapur-677378",2021-08-15
VEN121,Halder-Trivedi,Ekaraj Majumdar,05840449972,"H.No. 58, Purohit Circle, Pondicherry-396360",2022-05-12
VEN122,"Solanki, Raj and Raju",Warhi Bansal,+918951718702,"H.No. 745, Rao, Ozhukarai-578091",2022-01-02
VEN123,"Mani, Karan and Chana",Guneet Chaudhry,02400504556,"69/22, Brar Street, Udupi-792374",2022-12-17
VEN124,Andra-Shroff,Nakul Borah,05946474367,"95, Merchant, Lucknow 409097",2022-03-23
VEN125,Pandey and Sons,Zashil Devan,1047095214,"328, Wali Path, Dehradun 745171",2021-08-09
VEN126,Ranganathan PLC,Gautam Rana,+914817549651,"H.No. 985, Kant, Madhyamgram-612004",2023-02-07
VEN127,Chatterjee and Sons,Lipika Setty,08692617964,"773, Chaudhary Path, Tinsukia 064317",2021-05-25
VEN128,"Kala, Bail and Bedi",Yagnesh Dass,3183933529,"284, Choudhary Street, Mira-Bhayandar 539502",2022-02-19
