Vendor_ID,Company,Owner_Name,Phone,Address,Registration_Date
VEN201,"Solanki, Kibe and Solanki",Ranveer Chandra,+916566701065,"387, Sami Street, Alwar 317810",2022-12-18
VEN202,"Aurora, Chander and Khalsa",Niharika Sunder,03602606474,"343, Bhat Nagar, Howrah-978820",2023-11-22
VEN203,Grewal Inc,Wahab Raval,+919399091699,"534, Deep Marg, Berhampore 107991",2021-03-24
VEN204,Toor LLC,Ikshita Biswas,+915427849808,"411, Dugal Circle, Ichalkaranji 534874",2023-09-22
VEN205,Scam Infra Pvt Ltd,Aradhana Basu,9876543210,"05/98, Sani Street, Kalyan-Dombivli 505331",2022-01-25
VEN206,"Ray, Dubey and Khalsa",Peter Sachar,+912563421607,"54, Kapoor Ganj, Nellore-541458",2022-03-17
VEN207,"Narula, Bala and D’Alia",Pranav Lanka,+911965569816,"H.No. 608, Hegde Circle, Chinsurah-595148",2021-12-07
VEN208,Narain-Rau,Joshua Handa,06299468044,"95/77, Kala Chowk, Gulbarga-489513",2023-01-10
VEN209,Issac and Sons,Chakradhar Konda,09176936763,"H.No. 632, Shetty Circle, Proddatur-172788",2022-10-17
VEN210,Thaman-Sandhu,Nathan Soman,04348734714,"H.No. 58, Devi Zila, Ahmednagar-231665",2022-08-20
VEN211,Bhatia-Jhaveri,Lopa Bahri,6705466889,"467, Ramachandran Nagar, Machilipatnam-729806",2022-10-13
VEN212,"Bala, Chacko and Sangha",Triya Gopal,+914653755646,"08, Palla Nagar, Coimbatore 033092",2021-09-21
VEN213,Contractor-Kamdar,Aahana Pillay,+919912419049,"31/931, Dara Road, Sri Ganganagar-518506",2023-06-23
VEN214,Sant LLC,Michael Saran,+918498776945,"H.No. 73, Raghavan Chowk, Bhopal-527354",2022-01-11
VEN215,Ghost Shell Trading,Frederick Khurana,6783777014,"34/957, Wali Circle, Khandwa-574443",2025-12-25
VEN216,Mutti Inc,Rehaan Kalita,7498941343,"H.No. 08, Mahal Street, Meerut 271094",2022-06-01
VEN217,Oak-Gour,Zayyan Sridhar,+911671902294,"H.No. 869, Kara, Hospet 496499",2021-03-10
VEN218,"Chaudhary, Johal and Kakar",Finn Dugar,+912812067974,"H.No. 47, Kaur Zila, Giridih 618324",2023-06-27
VEN219,Bhasin and Sons,Bhavya Sarna,+917464887719,"59/401, Bail Ganj, Gangtok 278742",2023-12-31
VEN220,Swamy-Chand,Ijaya Rege,05125674680,"H.No. 45, Raval Zila, Hosur-603859",2023-04-12
